,State,Electoral Vote of each State,Republican,Democrat
2008,Rhode Island,4,-,4
2008,South Carolina,8,8,-
2008,South Dakota,3,3,-
2008,Tennessee,11,11,-
2008,Texas,34,34,-
2008,Utah,5,5,-
2008,Vermont,3,-,3
2008,Virginia,13,-,13
2008,Washington,11,-,11
2008,West Virginia,5,5,-
2008,Wisconsin,10,-,10
2008,Wyoming,3,3,-
2008,Total,538,173,365
2012,,,"Mitt Romney, of Massachusetts","Barack Obama, of Illinois"
2012,Alabama,9,9,-
2012,Alaska,3,3,-
2012,Arizona,11,11,-
2012,Arkansas,6,6,-
2012,California,55,-,55
2012,Colorado,9,-,9
2012,Connecticut,7,-,7
2012,Delaware,3,-,3
2012,District of Columbia,3,-,3
2012,Florida,29,-,29
2012,Georgia,16,16,-
2012,Hawaii,4,-,4
2012,Idaho,4,4,-
2012,Illinois,20,-,20
2012,Indiana,11,11,-
2012,Iowa,6,-,6
2012,Kansas,6,6,-
2012,Kentucky,8,8,-
2012,Louisiana,8,8,-
2012,Maine,4,-,4
2012,Maryland,10,-,10
2012,Massachusetts,11,-,11
2012,Michigan,16,-,16
2012,Minnesota,10,-,10
2012,Mississippi,6,6,-
2012,Missouri,10,10,-
2012,Montana,3,3,-
2012,Nebraska,5,5,-
2012,Nevada,6,-,6
2012,New Hampshire,4,-,4
2012,New Jersey,14,-,14
2012,New Mexico,5,-,5
2012,New York,29,-,29
2012,North Carolina,15,15,-
2012,North Dakota,3,3,-
2012,Ohio,18,-,18
2012,Oklahoma,7,7,-
2012,Oregon,7,-,7
2012,Pennsylvania,20,-,20
2012,Rhode Island,4,-,4
2012,South Carolina,9,9,-
2012,South Dakota,3,3,-
2012,Tennessee,11,11,-
2012,Texas,38,38,-
2012,Utah,6,6,-
2012,Vermont,3,-,3
2012,Virginia,13,-,13
2012,Washington,12,-,12
2012,West Virginia,5,5,-
2012,Wisconsin,10,-,10
2012,Wyoming,3,3,-
2012,Total,538,206,332
2016,,,"Donald Trump,
of New York","Hillary Clinton,
of New York"
2016,Alabama,9,9,-
2016,Alaska,3,3,-
2016,Arizona,11,11,-
2016,Arkansas,6,6,-
2016,California,55,-,55
2016,Colorado,9,-,9
2016,Connecticut,7,-,7
2016,Delaware,3,-,3
2016,District of Columbia,3,-,3
2016,Florida,29,29,-
2016,Georgia,16,16,-
2016,Hawaii,4,-,3
2016,Idaho,4,4,-
2016,Illinois,20,-,20
2016,Indiana,11,11,-
2016,Iowa,6,6,-
2016,Kansas,6,6,-
2016,Kentucky,8,8,-
2016,Louisiana,8,8,-
2016,Maine,4,1,3
2016,Maryland,10,-,10
2016,Massachusetts,11,-,11
2016,Michigan,16,16,-
2016,Minnesota,10,-,10
2016,Mississippi,6,6,-
2016,Missouri,10,10,-
2016,Montana,3,3,-
2016,Nebraska,5,5,-
2016,Nevada,6,-,6
2016,New Hampshire,4,-,4
2016,New Jersey,14,-,14
2016,New Mexico,5,-,5
2016,New York,29,-,29
2016,North Carolina,15,15,-
2016,North Dakota,3,3,-
2016,Ohio,18,18,-
2016,Oklahoma,7,7,-
2016,Oregon,7,-,7
2016,Pennsylvania,20,20,-
2016,Rhode Island,4,-,4
2016,South Carolina,9,9,-
2016,South Dakota,3,3,-
2016,Tennessee,11,11,-
2016,Texas,38,36,-
2016,Utah,6,6,-
2016,Vermont,3,-,3
2016,Virginia,13,-,13
2016,Washington,12,-,8
2016,West Virginia,5,5,-
2016,Wisconsin,10,10,-
2016,Wyoming,3,3,-
2016,Total,538,304,227
2020,,,"Joseph R. Biden Jr.,
of Delaware","Donald J. Trump,
of Florida"
2020,Alabama,9,-,9
2020,Alaska,3,-,3
2020,Arizona,11,11,-
2020,Arkansas,6,-,6
2020,California,55,55,-
2020,Colorado,9,9,-
2020,Connecticut,7,7,-
2020,Delaware,3,3,-
2020,District of Columbia,3,3,-
2020,Florida,29,-,29
2020,Georgia,16,16,-
2020,Hawaii,4,4,-
2020,Idaho,4,-,4
2020,Illinois,20,20,-
2020,Indiana,11,-,11
2020,Iowa,6,-,6
2020,Kansas,6,-,6
2020,Kentucky,8,-,8
2020,Louisiana,8,-,8
2020,Maine,4,3,1
2020,Maryland,10,10,-
2020,Massachusetts,11,11,-
2020,Michigan,16,16,-
2020,Minnesota,10,10,-
2020,Mississippi,6,-,6
2020,Missouri,10,-,10
2020,Montana,3,-,3
2020,Nebraska,5,1,4
2020,Nevada,6,6,-
2020,New Hampshire,4,4,-
2020,New Jersey,14,14,-
2020,New Mexico,5,5,-
2020,New York,29,29,-
2020,North Carolina,15,-,15
2020,North Dakota,3,-,3
2020,Ohio,18,-,18
2020,Oklahoma,7,-,7
2020,Oregon,7,7,-
2020,Pennsylvania,20,20,-
2020,Rhode Island,4,4,-
2020,South Carolina,9,-,9
2020,South Dakota,3,-,3
2020,Tennessee,11,-,11
2020,Texas,38,-,38
2020,Utah,6,-,6
2020,Vermont,3,3,-
2020,Virginia,13,13,-
2020,Washington,12,12,-
2020,West Virginia,5,-,5
2020,Wisconsin,10,10,-
2020,Wyoming,3,-,3
2020,Total,538,306,232
